"gene_name","one_cell.ribo","two_cell.ribo","four_cell.ribo","eight_cell.ribo","one_cell.rna","two_cell.rna","four_cell.rna","eight_cell.rna","WT_one_cell_TE","WT_two_cell_TE","WT_four_cell_TE","WT_eight_cell_TE"
"B0238.9",-1.42853703965134,-1.14078987671644,-1.42134414925522,-1.54807726627393,-0.302882742476346,0.18646807549917,-0.202292501187652,0.163549229937863,-1.12565429717499,-1.32725795221561,-1.21905164806756,-1.7116264962118
"B0250.5",-1.08196344937136,-1.46607401491134,-1.63878682831503,-1.99164603918173,-0.568238972524352,-0.136763910989113,-0.610917190613998,-0.111958043115607,-0.51372447684701,-1.32931010392222,-1.02786963770103,-1.87968799606612
"B0261.1",0.395491690145506,0.622696570565613,0.527420469240544,0.951301054532235,0.728657453580967,0.934492598011338,0.847493650956239,0.773737999721753,-0.333165763435461,-0.311796027445725,-0.320073181715695,0.177563054810481
"B0261.7",-0.532657305037307,-0.536532569870213,-0.407963507329754,-0.673311292779994,0.943481029533539,1.56123251239332,1.0544437942153,1.09952294698923,-1.47613833457085,-2.09776508226354,-1.46240730154505,-1.77283423976922
"B0272.3",1.59985496696298,1.29057120593399,1.41726385967199,1.30681634797699,-0.0177177728568834,0.199855925480868,0.453451020296373,0.139001936496131,1.61757273981986,1.09071528045312,0.96381283937562,1.16781441148085
"B0280.9",-1.0343083594692,-0.423815151205415,-0.698751209781175,-0.0476061834573822,0.0611750043388169,0.44991418942428,0.132696538764404,0.0297878286764026,-1.09548336380802,-0.873729340629695,-0.831447748545579,-0.0773940121337848
"B0281.5",-1.05756836728665,-1.71128132816427,-1.37576376005673,-1.31140656284929,-1.08095265539162,-1.95008815149869,-0.986161388909765,-0.845186809392112,0.0233842881049704,0.238806823334419,-0.389602371146962,-0.466219753457183
"B0285.3",-0.644229080694412,-0.602123635987086,-0.224471213559704,-0.375011184003723,-0.0538631547220615,-0.0645782882301367,-0.324727357335595,-0.291286521480876,-0.590365925972351,-0.537545347756949,0.100256143775891,-0.0837246625228469
"B0303.3",2.17416917757666,2.05614475660912,2.17341393173284,2.01839227663707,0.190214625897678,0.109040311145173,0.454230595783259,0.471176033939196,1.98395455167899,1.94710444546395,1.71918333594958,1.54721624269788
"B0303.4",-0.913727331060756,-0.704943405480482,-0.443624275573699,0.461474942064576,0.577398337935435,0.274571338956831,0.240040594025882,0.577531742293954,-1.49112566899619,-0.979514744437313,-0.683664869599581,-0.116056800229377
"B0303.7",-0.44149652664033,-0.493223085354985,-0.359220338742876,-0.165864042548046,0.192691110203506,-0.982345490625709,0.0907201256049869,-0.38901420260138,-0.634187636843836,0.489122405270724,-0.449940464347863,0.223150160053334
"B0304.2",-0.990802670974385,-1.27553900189961,-1.23192272383084,-1.38634525273758,-0.500665874997016,0.289925945645496,-0.334490738985822,-0.231045105814974,-0.490136795977369,-1.56546494754511,-0.897431984845014,-1.1553001469226
"B0304.4",-2.23325599586838,-1.74981899812108,-1.50797479237389,-1.28372609827747,-0.629465415942491,-0.255253103944451,-1.14430528249692,-0.687645969665878,-1.60379057992589,-1.49456589417663,-0.363669509876973,-0.596080128611593
"B0334.3",0.267036483252992,-0.131493339620904,0.307586712902613,0.384331158173953,0.425671966769625,0.0905427949996076,0.376525457960052,0.538968692075193,-0.158635483516633,-0.222036134620511,-0.0689387450574397,-0.15463753390124
"B0334.4",0.821367795513798,0.47928942079945,0.414674063388051,0.279578684348692,-0.0378855537468767,0.683704299765517,0.318267548190224,0.219192018007507,0.859253349260674,-0.204414878966067,0.0964065151978264,0.0603866663411849
"B0336.13",0.36322242957672,0.690661998932501,0.157042862314058,0.369529638353861,-0.088272189070394,-0.0664690948314198,-0.0777984551166722,0.242078577738211,0.451494618647114,0.757131093763921,0.23484131743073,0.127451060615651
"B0336.7",-1.05756836728665,-1.56871906710507,-0.957269651663809,-1.09731828050901,0.59740987726092,0.528042444437785,0.388349651592019,0.370348284529835,-1.65497824454757,-2.09676151154286,-1.34561930325583,-1.46766656503885
"B0361.2",1.3075982971844,1.45652049625183,1.0199173923483,1.27528848536565,0.347610118096979,0.500778963106029,0.734309381556646,0.777978140942893,0.959988179087424,0.955741533145803,0.28560801079165,0.497310344422758
"B0361.3",0.569645037279613,0.633551380054774,0.370800825060793,0.47911893343283,0.879038438593774,0.664639768100991,0.90299349689778,0.539860079442846,-0.309393401314161,-0.0310883880462172,-0.532192671836988,-0.0607411460100163
"B0361.6",-1.88668240558841,-2.16437601727197,-1.24805735411523,-1.46383457325867,0.232725079434922,0.86930446547957,0.350335576081922,0.420115801532242,-2.11940748502334,-3.03368048275154,-1.59839293019715,-1.88395037479092
"B0393.3",2.4249942880339,3.02416455278585,2.9660996137582,3.08386939112002,2.98249709144136,1.44386342891262,2.24932762287904,1.93821089109517,-0.55750280340746,1.58030112387323,0.716771990879157,1.14565850002485
"B0393.6",1.99162926168102,1.72002759176685,0.870409662554236,0.579885903219156,0.0429102203499916,0.13163050044249,-0.0194151287649904,0.37826030164623,1.94871904133102,1.58839709132436,0.889824791319227,0.201625601572926
"B0395.3",-2.23325599586838,-2.23629653538491,-1.68895450218057,-1.28784995571802,-1.39219753445647,-1.66857254249358,-1.64174280089582,-1.50918234517649,-0.841058461411912,-0.567723992891328,-0.0472117012847522,0.221332389458477
"B0416.4",-0.990802670974385,-0.893507862759836,-0.518421695399514,-0.261301222306956,-1.56942722825677,-0.262721053376353,-0.916971791302031,-0.964247511937673,0.578624557282388,-0.630786809383484,0.398550095902517,0.702946289630716
"B0416.5",-0.532657305037307,0.1338716661383,0.611591043888111,1.19247793009681,0.269889017234853,-0.301617225364031,-0.139428777918468,0.0157779845951865,-0.802546322272161,0.435488891502331,0.751019821806579,1.17669994550163
"B0432.10",-1.19353522502847,-1.46353592204533,-0.884861328518049,-0.87196164738205,-1.33553051032117,-1.03688863188631,-1.17407739731654,-1.33923249924552,0.141995285292701,-0.426647290159023,0.289216068798494,0.467270851863466
