,P0,AB,P1,ABa,ABp,EMS,P2,ABal,ABar,ABpl,ABpr,MS,E,C,P3,ABalx,ABarx,ABplx,ABprx,MSx,Ex,Cx,D,P4,1-cell,2-cell,4-cell,8-cell,16-cell
nlp-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.117,0,0,0,0,0,0,0,7.679666667
nlp-35,0.146,0,0,0,0,0.532,0,0,0,8.302,0,31.18,85.57,0,0,1.044,8.6625,5.188181818,34.62833333,120.435,7.001,0,0,0,0.146,0,0.133,15.23282051,23.35811111
nlp-36,97.844,66.458,116.752,95.998,99.46,61.356,77.03,129.468,159.162,125.752,103.384,156.15,46.208,73.098,144.296,58.63,52.77166667,116.0209091,126.2241667,86.24,33.77,19.73454545,17.87,59.80833333,97.844,91.605,83.461,116.1907692,67.40233333
nlp-37,2.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.014,0,0,0,0
nlp-38,0,0,0,0,0,1.324,0,7.068,0,0,0,4.1625,0,0,0,0,7.7475,0.163636364,9.314166667,2.105833333,128.377,10.91636364,0,0,0,0,0.331,1.333076923,18.174
nlp-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nlp-4,5.73,0,0,0,0,0.456,5.038,0.104,0,10.628,0,0,0,0,0,0,0,0,0,0,0,0,29.705,0,5.73,0,1.3735,1.375897436,1.980333333
nlp-40,12.646,8.14,5.122,34.492,11.794,3.844,3.352,14.052,14.85,0.168,0,0,4.752,10.756,0,4.815,10.83333333,0.276363636,3.316666667,48.14666667,0.103,19.02818182,0,0,12.646,6.631,13.3705,5.715128205,11.21211111
nlp-41,11.504,5.744,12.064,8.878,10.354,9.934,10.386,8.516,12.416,15.964,18.092,4.595,5.512,11.74,4.948,4.402,4.435833333,7.171818182,8.72,27.81833333,3.123,5.994545455,10.01833333,8.59,11.504,8.904,9.888,10.36717949,9.149111111
nlp-42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.180833333,0,0,0,0,0,0,0,0,0.157444444
nlp-46,0,0,0,0,0,0,0,0,0,8.166,0,0,0,0,0,0,0.711666667,0,0,0,0,0,0,0,0,0,0,1.046923077,0.094888889
